imu_mx,imu_my,imu_mz
8.25,0.15,-22.95
9.6,-0.3,-23.25
7.35,0,-23.85
8.25,0.45,-24.75
7.2,-0.15,-24.15
6.75,0.15,-23.7
6.6,0,-25.35
7.2,-1.2,-23.7
6.9,-0.3,-23.85
6.6,-0.75,-24.6
7.65,1.05,-24.6
8.25,1.2,-23.4
7.35,1.05,-22.8
7.65,1.05,-23.85
6.15,0.3,-24.3
6.75,1.65,-24.75
9.75,1.65,-24.15
11.55,1.65,-24.15
11.1,1.8,-22.8
11.25,2.1,-24.15
10.65,0.75,-23.85
10.35,1.05,-24.3
8.7,0.45,-23.7
8.1,0.75,-24.3
7.65,-0.3,-23.85
6,0.15,-24.45
5.85,-1.05,-24.6
4.95,-2.4,-24.15
3.6,-3.3,-22.5
3.6,-4.95,-23.85
-1.05,-14.1,-23.85
-0.6,-17.85,-25.35
-2.1,-19.35,-23.55
-2.1,-20.55,-22.8
-1.95,-22.65,-22.65
-0.6,-26.25,-23.25
0.15,-26.55,-23.4
1.2,-27.6,-22.95
1.2,-27.3,-22.95
2.85,-28.95,-24.3
1.65,-29.1,-24.45
1.95,-28.35,-24.75
2.85,-27.45,-23.55
4.05,-30.45,-23.85
4.2,-31.5,-24.75
6,-33,-24.75
5.55,-35.4,-25.05
6.45,-34.05,-24.45
4.2,-34.05,-24.45
4.05,-35.85,-22.5
9,-36.75,-24.45
9.3,-36,-25.95
8.25,-36,-24.75
9.15,-35.1,-24.3
9.3,-34.95,-25.5
11.25,-35.7,-26.25
11.85,-35.85,-25.05
12.45,-36.6,-24.6
13.5,-37.2,-23.7
13.95,-38.55,-23.85
19.2,-38.55,-25.05
20.55,-38.7,-25.2
20.1,-38.7,-25.2
21.6,-39.45,-25.2
21.6,-39.15,-24.15
23.25,-37.8,-25.35
24.75,-38.55,-25.05
26.25,-37.05,-24.3
27.75,-36.6,-23.85
31.05,-34.35,-23.55
35.85,-31.95,-23.25
37.95,-32.25,-22.95
38.55,-30.3,-23.7
39.15,-28.2,-22.8
39.6,-27,-24.3
40.35,-26.7,-23.55
40.65,-24.45,-23.55
42,-22.65,-23.4
42.3,-21.45,-24.45
41.4,-22.05,-23.55
39.6,-23.25,-24.3
40.8,-23.1,-25.2
41.4,-22.8,-24.6
42,-22.2,-24.45
41.4,-22.8,-23.55
42.45,-19.35,-23.55
43.8,-20.4,-22.65
42.75,-18,-22.95
42.9,-16.8,-23.55
43.2,-17.55,-23.85
43.8,-12.3,-22.65
41.4,-10.95,-23.85
41.1,-9.15,-24.3
42.3,-8.55,-22.65
40.8,-9.6,-23.4
41.1,-8.7,-23.85
41.25,-8.1,-23.7
41.7,-6.45,-22.5
42.15,-6,-22.8
40.5,-3.6,-22.95
39,0.15,-22.65
36.6,0.3,-23.25
33.45,1.2,-22.95
32.85,3,-23.85
28.95,3.6,-23.7
27.9,3.15,-24.15
27,3.75,-23.25
25.65,3.15,-24.45
24.6,2.4,-24.45
24.75,4.5,-24.6
24.3,4.95,-23.85
24.9,3.9,-24.15
25.5,4.5,-24.6
26.55,2.55,-24.6
26.1,1.65,-25.2
26.4,-0.9,-26.25
25.8,-4.5,-26.1
27.45,-5.1,-26.25
28.05,-4.5,-26.4
26.7,-6.3,-27.75
26.55,-20.55,-29.7
26.25,-23.25,-29.7
26.1,-27.3,-28.05
27.9,-30.75,-27
27.9,-33.3,-25.5
30.3,-36.6,-25.05
32.4,-38.7,-22.65
31.8,-40.8,-22.05
33,-44.4,-20.1
35.85,-46.95,-17.7
35.7,-56.25,-6.3
36.15,-58.8,-4.65
38.55,-60.45,-0.15
37.65,-63,4.35
38.1,-63,8.25
39.9,-62.25,11.25
40.8,-62.4,13.5
41.25,-63.9,17.25
42.3,-63.6,19.05
41.7,-64.05,19.5
40.8,-63.6,32.1
40.8,-61.2,33.6
41.1,-61.5,36.3
41.25,-60.45,40.5
41.4,-58.05,42.45
41.7,-58.05,44.25
41.1,-56.1,47.55
39.75,-53.55,51.3
40.05,-52.05,54.3
41.7,-49.2,56.25
41.4,-37.05,63.9
38.55,-34.5,66.15
38.1,-30.9,67.5
38.25,-29.85,68.1
36.9,-27.45,69.3
36,-25.65,70.2
37.35,-24.75,71.1
35.7,-23.1,70.2
34.05,-20.55,70.8
33,-17.25,71.7
31.95,-2.85,70.95
31.95,0.45,69.45
31.65,5.85,67.35
34.2,7.05,66.6
34.05,9.45,64.95
36.6,14.4,60.3
37.35,18.6,57
37.35,19.8,54.75
37.65,22.05,51.45
38.85,25.5,48.6
42,30.3,31.65
42,30.75,27.3
43.05,30.3,24.75
43.5,30.75,20.4
44.55,28.8,15
43.95,28.2,14.1
44.4,27.75,11.25
43.05,28.05,9.15
42.3,28.05,5.25
41.25,26.85,3
39.75,21.15,-6.6
36.15,19.05,-9
32.85,19.05,-12.3
28.95,19.2,-13.95
25.5,16.8,-17.7
23.25,13.35,-19.5
21.45,9.45,-22.05
19.8,7.05,-23.4
18.75,4.2,-24.3
17.85,2.1,-24.45
13.05,-9.6,-29.1
11.4,-12.6,-27.9
13.2,-16.8,-29.7
12.75,-19.95,-28.05
11.25,-22.65,-28.05
12.45,-24.45,-27.15
13.65,-30.9,-26.4
17.4,-36.6,-24.3
18.45,-39.3,-24.6
19.8,-42.45,-22.2
25.65,-55.2,-12.45
29.7,-57,-8.1
30.45,-60.15,-4.8
31.35,-61.5,-2.4
31.05,-64.05,1.05
31.65,-63.9,5.85
30.15,-67.35,11.4
30.15,-66.15,14.25
28.2,-67.8,18.3
26.4,-68.1,23.7
25.65,-67.8,31.65
24.75,-63.75,40.95
24.9,-61.2,46.95
24.15,-55.2,56.4
24.6,-45.9,63.75
23.4,-34.5,68.7
23.25,-25.95,72.6
20.25,-14.1,74.1
20.55,-4.35,71.7
19.8,3.9,68.4
19.5,12.9,64.2
19.5,18.3,59.1
19.35,25.35,53.1
18.3,28.8,46.65
18,31.65,41.7
16.2,33.15,36.3
14.85,33.75,32.85
16.8,34.95,30.6
16.65,34.35,27.9
14.4,34.35,25.05
13.65,32.85,20.7
11.25,34.5,16.5
11.1,33.9,16.95
6.6,31.95,16.2
6.15,31.95,14.1
6,31.8,13.5
5.25,30.3,12.75
3,29.85,12.75
3.75,29.85,12.15
6,31.8,8.4
14.55,28.8,0.45
14.55,29.1,-0.45
15.9,28.65,-1.8
19.2,27,-2.4
21.9,26.1,-4.8
22.65,25.35,-7.05
23.4,24.9,-8.1
20.85,19.95,-12.45
17.55,12.3,-19.05
12.3,1.2,-24.15
9.15,-37.8,-22.5
8.4,-43.05,-19.2
10.05,-50.1,-15.3
8.85,-54.15,-13.35
10.8,-56.7,-9.6
10.65,-59.85,-7.95
11.55,-60.15,-3.75
13.2,-62.25,-2.4
13.8,-63.9,-0.15
13.5,-65.85,2.7
11.25,-67.8,15.3
9.75,-67.8,17.25
8.85,-68.7,20.25
5.7,-66.9,24.15
4.95,-65.85,26.7
3,-65.4,29.1
1.8,-64.05,31.5
3.45,-65.1,34.95
6.45,-63.6,38.55
7.35,-63,42.75
15.9,-51.15,60.3
19.5,-48,63.15
20.85,-44.85,64.35
24,-41.25,66.45
22.2,-38.85,66.75
22.65,-37.2,69.15
21.15,-31.5,71.7
19.2,-23.55,72.15
19.35,-12.75,72.75
18,-2.55,70.8
11.1,26.25,52.65
11.4,28.65,47.1
9.75,29.1,42.9
9.75,31.05,39.75
9.3,31.8,37.5
7.5,32.55,33.6
7.95,31.8,31.35
6.9,31.95,26.85
4.35,30.45,26.4
3.3,31.65,23.85
-1.35,28.65,14.1
-1.65,26.1,9.6
-1.8,25.95,5.4
-0.45,25.35,2.7
-2.1,23.55,0.6
-2.85,22.8,1.35
-4.35,22.05,-0.3
-2.55,21.75,-1.8
-1.95,21.45,-0.9
-1.95,21.45,-1.2
5.1,17.55,-12.3
5.85,15.9,-12.3
5.85,15.15,-13.35
7.35,14.85,-14.4
7.65,13.65,-15.15
8.7,15.45,-16.5
8.4,11.7,-18.15
7.35,6,-21
6.6,-0.75,-25.05
5.25,-12,-25.5
11.4,-49.2,-17.4
14.4,-53.4,-13.05
16.2,-56.4,-11.25
17.85,-57.75,-9.6
20.1,-61.65,-4.5
20.7,-64.5,-1.05
22.95,-65.7,3.6
22.5,-66.45,5.7
21.6,-67.35,9.9
21.9,-66.9,11.4
21,-68.7,26.4
18.75,-68.25,29.4
14.85,-66.9,31.35
12.75,-65.1,35.4
8.7,-64.35,37.2
8.1,-63.75,40.2
7.95,-62.4,42.9
6.9,-61.5,45.75
9.9,-59.85,47.85
13.8,-58.95,50.55
13.65,-48.45,61.65
13.8,-42.45,66.6
11.55,-31.5,70.95
11.1,-19.05,72.15
10.35,-6.45,71.1
11.4,5.25,66.75
11.25,16.2,60.75
9.75,22.65,54.6
10.8,28.35,47.4
12.45,31.2,40.95
12.45,32.4,35.85
9.3,32.55,32.1
7.5,33,26.25
6.9,32.4,21.3
3.6,31.2,15.15
0.45,28.8,9.9
-1.95,24.6,4.05
-4.05,21,0.6
-6.45,16.5,-3.75
-9.15,11.4,-7.95
-8.7,6.6,-10.95
-11.4,-4.5,-13.8
-12,-16.5,-16.5
-11.55,-22.2,-16.8
-9.9,-29.4,-16.65
-8.4,-34.65,-15.9
-8.1,-36.15,-14.85
-8.4,-38.85,-13.8
-10.8,-42.15,-11.7
-9.9,-45.75,-7.95
-9.3,-50.1,-4.05
-7.35,-51.9,-1.35
-6.6,-56.1,1.35
-4.95,-58.5,5.55
-1.05,-62.25,8.25
1.65,-64.65,15
4.8,-67.95,21.3
7.65,-66,26.85
10.5,-66.15,30.3
12.75,-66.6,35.7
15.3,-64.65,39.75
19.05,-63.6,41.85
22.5,-61.05,46.05
24.9,-59.4,49.95
26.1,-54.3,55.65
28.05,-48,61.65
30.3,-40.8,65.25
31.35,-31.2,70.05
32.85,-22.5,71.85
36.75,-12.3,71.25
37.5,7.8,64.35
37.95,12,61.2
38.25,18.9,55.65
37.95,25.35,48.45
36.9,27.45,44.25
38.1,29.7,40.2
38.55,31.5,33.15
37.35,31.95,26.85
38.4,31.65,22.5
38.1,31.95,20.7
38.25,30.3,9.6
39.75,29.55,9.15
39.3,28.05,7.35
40.5,27.6,6.6
41.1,28.65,7.95
40.8,28.8,6.3
40.65,27,4.35
40.65,27,2.85
40.05,26.85,1.5
38.25,25.65,0.15
33.45,17.7,-12.15
33.45,14.25,-16.8
31.8,10.65,-19.2
31.05,5.25,-23.25
31.05,0.75,-23.85
28.8,-3,-25.35
27.75,-8.4,-28.2
25.05,-13.65,-29.4
22.35,-20.7,-28.8
21.6,-26.55,-28.8
16.8,-55.2,-13.95
15.6,-56.7,-10.95
18.3,-60.15,-6.6
20.1,-63.9,-1.5
18.6,-64.35,1.95
19.05,-65.4,7.05
19.95,-69,12.3
21,-69,17.4
24.75,-69,21.75
28.2,-68.55,25.95
34.2,-64.65,32.4
35.55,-65.7,33.3
35.55,-63.3,35.55
38.25,-64.35,34.95
40.65,-61.5,37.05
42.3,-60.45,39.75
41.7,-58.8,40.65
45.45,-56.1,44.25
47.7,-51.45,47.55
50.4,-47.1,49.95
54,-33.6,58.05
54.15,-26.55,60.75
52.5,-19.8,62.4
46.8,-10.5,66.15
42.75,1.65,65.1
36.15,14.1,61.65
30.6,22.05,54.75
25.35,27.3,49.5
20.7,31.65,40.65
18.3,34.95,32.4
15.45,34.65,27.6
14.4,34.65,20.25
12.45,33.6,15.9
13.65,33.15,11.25
10.5,32.25,7.05
9,28.8,1.2
7.35,22.8,-7.2
6,17.25,-12.45
6.6,10.2,-17.7
8.4,4.5,-21.75
8.4,-9.45,-26.1
11.1,-21,-27.6
16.65,-31.65,-26.4
21,-37.35,-25.05
25.8,-40.8,-22.5
30.3,-46.5,-18.15
33,-47.85,-15.3
36.9,-51.45,-10.05
38.85,-52.65,-10.05
38.55,-52.05,-9.6
42.75,-54.75,-4.8
46.35,-54.75,0.9
51,-56.4,8.25
53.1,-53.55,13.95
54.75,-54.15,19.95
58.5,-51.9,26.4
59.7,-47.1,35.4
60.3,-42,42.75
61.2,-32.55,50.25
58.65,-18.45,55.35
55.8,-8.7,58.05
52.5,3,58.35
47.85,10.05,57.15
40.65,18.3,54.75
35.85,24,50.85
32.7,28.05,47.4
29.7,30.3,42.6
27.15,32.55,37.95
25.35,33.75,34.65
23.25,34.35,28.65
21.9,35.7,17.25
19.5,33.15,11.25
17.4,31.2,5.7
14.7,29.7,-0.3
12.45,25.95,-4.95
12.75,21.45,-8.85
11.85,16.35,-14.4
11.1,10.2,-18.75
11.25,4.65,-22.65
11.4,-0.3,-25.65
25.05,-33.6,-26.1
29.7,-36.75,-24.15
32.85,-38.85,-23.55
35.55,-40.35,-20.7
38.25,-42.9,-17.85
40.8,-43.35,-16.05
43.2,-45,-14.1
43.8,-48.3,-11.4
44.25,-48.6,-9.6
46.05,-49.8,-8.1
49.05,-52.5,-0.45
49.35,-52.8,-0.15
51.75,-51.15,2.4
53.25,-50.4,1.8
55.5,-49.95,3.6
56.7,-49.35,7.05
59.85,-48,12.3
62.25,-47.1,16.5
63.3,-45,17.7
63.6,-42,20.25
66.75,-28.05,40.05
67.2,-23.1,42.9
65.25,-17.25,46.65
64.8,-13.35,47.55
63.3,-9.15,48.3
60.45,-3.6,51
57.15,3.9,54.3
51.45,9.15,55.8
46.2,15.15,55.5
39,19.95,54.6
10.35,31.65,36.3
4.35,31.65,31.5
-0.9,28.8,24.75
-4.5,26.55,20.85
-9.75,23.4,16.05
-10.05,19.2,12.75
-12.15,17.55,7.95
-14.25,13.8,1.5
-14.25,5.85,-3.75
-13.8,2.1,-8.1
-7.35,-33.15,-16.95
-3.75,-39.45,-16.5
2.55,-46.5,-15.6
6.75,-51.3,-14.25
8.25,-56.25,-10.35
6.9,-59.55,-2.85
4.35,-63.3,3.9
-1.35,-62.55,9
-6.75,-60.45,10.95
-7.2,-59.7,14.7
-19.05,-49.05,30.6
-19.95,-43.05,32.55
-21.9,-38.25,37.5
-21.75,-35.4,40.2
-21.9,-31.5,43.65
-23.4,-29.55,45.9
-22.65,-26.1,45.9
-23.25,-21.75,47.1
-23.4,-19.2,48.75
-21,-17.85,48.6
-17.85,-10.5,54.3
-17.7,-9.15,52.95
-18.45,-4.2,50.1
-17.4,-1.05,49.65
-15.3,3.9,49.5
-14.7,7.5,48.6
-13.65,11.4,47.1
-9.9,17.55,43.2
-7.65,21.75,37.65
-6.45,25.35,32.4
-3.6,25.5,13.35
-3.45,25.65,9.9
-1.65,26.55,7.35
1.05,25.95,2.1
1.05,25.95,1.35
4.05,25.95,-1.05
3,23.85,-3.75
3.75,21.15,-5.85
4.05,17.85,-9.3
2.55,13.65,-14.1
-10.8,-19.95,-17.25
-11.25,-25.65,-15.75
-14.55,-30.75,-11.7
-16.95,-35.85,-6.45
-17.55,-36.75,-3
-19.35,-40.2,2.7
-21.9,-41.7,8.1
-22.95,-40.05,13.35
-24.75,-38.55,16.95
-25.5,-37.05,16.95
-28.5,-30.9,24.3
-27.15,-31.05,24.15
-27.3,-28.2,26.1
-28.2,-22.2,28.5
-28.5,-19.35,30.15
-29.55,-18.3,26.85
-28.2,-18.9,26.7
-28.8,-15.6,27.9
-28.65,-16.2,27
-28.05,-12.15,25.35
-24.75,-0.3,14.85
-23.85,2.4,11.7
-22.2,6,8.25
-18,9.15,3.9
-14.25,11.25,1.2
-12.45,11.7,-3.15
-9.9,10.65,-6.9
-8.85,9.45,-10.05
-5.25,7.8,-12.15
-2.55,4.5,-16.2
-3.3,0.3,-18.45
-3.45,-0.15,-19.65
-3.3,-3,-19.95
-1.95,-3.6,-20.1
-0.15,-5.4,-22.2
1.2,-7.35,-23.4
2.85,-9.45,-24.6
7.65,-14.85,-27.15
14.7,-20.1,-27.6
23.1,-24.6,-28.5
43.05,-45.6,-13.2
44.85,-49.35,-9.15
45.3,-53.25,-4.8
46.35,-55.95,0.45
44.4,-59.55,7.95
43.8,-62.4,12.45
39,-66.15,18.6
34.5,-67.35,22.95
29.7,-68.55,26.25
21.75,-67.95,28.95
8.85,-66.45,30.45
8.1,-66.75,31.2
4.8,-65.25,30.45
3.3,-64.8,31.5
-0.45,-61.95,33.6
-4.05,-61.05,34.05
-7.5,-58.2,33.9
-12,-55.2,32.85
-16.2,-52.65,31.2
-18.75,-49.2,29.7
